## SourceMame       c-factor_1sigma     c-factor_3sigma
DG-Tau              0.4057              -0.1413
DoAr25              0.1642              0.0258
EC92                0.6088              0.5817
Haro6-13            -inf                nan    
Haro6-33            -0.3746             -0.9187                                         
GV_Tau              0.6358              0.6188
IRAS03260+3111      0.2969              0.2634
IRAS03301+3111      0.4446              0.2666
IRAS04108+2803      0.4383              0.0655              
IRAS04113+2758S     0.5036              0.3271
IRAS04181+2655M     0.2839              0.1968
IRAS04181+2655S     0.6791              0.6067
IRAS04489+3042      0.368               -3.9032
IRAS04591-0856      0.5644              0.4819
IRAS05379-0758      -0.0971             nan
IRAS19247+2238      0.4521              0.2358
IRS5                0.3645              0.3643
OphIRS63            0.6048              0.5016
T-Tauri             0.8675              0.8228              
V347_Aur            0.5392              0.184
YLW58               0.0907              0.0907
SR24		    -0.74		-8.59
GY92-235            0.331               0.285
Elia32		    0.326		0.326
Elia33		    0.493		0.493
WLY2-42             0.177               0.176

